Time,Supply Voltage, Battery Voltage
0,3.2929,2.8561
30,3.2031,3.3160
60,3.2031,3.3202
90,3.2031,3.3307
120,3.2031,3.3370
150,3.2031,3.3370
180,3.2031,3.3433
210,3.2500,3.3455
240,3.2031,3.3455
270,3.2031,3.3392
300,3.2031,3.3392
330,3.2031,3.3328
360,3.2031,3.3392
390,3.2031,3.3287
420,3.2031,3.3244
450,3.2031,3.3119
480,3.2031,3.3076
510,3.1562,3.3076
540,3.1562,3.3139
570,3.2031,3.3055
600,3.1562,3.3013
630,3.1562,3.2908
660,3.1562,3.2866
690,3.1562,3.2824
720,3.1562,3.2720
750,3.1132,3.2530
752,3.1132,3.2530
754,3.1562,3.2593
784,3.1132,3.2509
786,3.1132,3.2509
788,3.1132,3.2488
790,3.1132,3.2488
792,3.1562,3.2488
822,3.0664,3.2257
824,3.1132,3.2320
826,3.1132,3.2383
828,3.1132,3.2383
830,3.1132,3.2341
832,3.0664,3.2278
834,3.1132,3.2278
836,3.1132,3.2341
838,3.0664,3.2216
840,3.0664,3.2194
842,3.0664,3.2068
844,3.0664,3.2110
846,3.0664,3.2152
848,3.0664,3.2089
850,3.0664,3.2089
852,3.0664,3.2131
854,3.1132,3.2152
856,3.0664,3.2131
858,3.0664,3.1984
860,3.0664,3.1837
862,3.0664,3.2005
864,3.0195,3.1712
866,3.0195,3.1585
868,3.0195,3.1816
870,2.9765,3.1144
872,2.9765,3.1291
874,3.0664,3.1795
876,3.0195,3.1564
878,3.1132,3.2447
880,3.0195,3.1375
882,3.0195,3.1396
884,3.1562,3.2951
914,3.1562,3.2971
944,3.2031,3.3518
974,3.0664,3.2131
976,3.2500,3.3580
1006,3.1132,3.2447
1008,3.2031,3.3287
1038,3.1132,3.2278
1040,3.2500,3.3623
1070,3.0664,3.2173
1072,3.2031,3.3370
1102,3.1562,3.2740
1132,3.1562,3.2824
1162,3.1132,3.2447
1164,3.1132,3.2635
1166,3.1132,3.2404
1168,3.1132,3.2447
1170,3.1132,3.2447
1172,3.1132,3.2509
1174,3.1132,3.2447
1176,3.1132,3.2593
1178,3.1132,3.2404
1180,3.1132,3.2447
1182,3.1132,3.2257
1184,3.2031,3.3455
1214,3.0664,3.2005
1216,3.2500,3.3601
1246,3.1132,3.2467
1248,3.1562,3.3097
1278,3.0664,3.2236
1280,3.2031,3.3287
1310,3.2031,3.3538
1340,3.2031,3.3265
1370,3.1132,3.2635
1372,3.1562,3.3097
1402,3.1562,3.3139
1432,3.1132,3.2509
1434,3.0195,3.1564
1436,3.2031,3.3370
1466,3.1132,3.2572
1468,3.1132,3.2447
1470,3.1132,3.2425
1472,3.1562,3.2951
1502,3.1562,3.2951
1532,3.2031,3.3328
1562,3.0664,3.2257
1564,3.1562,3.2803
1594,3.1132,3.2299
1596,3.1132,3.2530
1598,3.1132,3.2530
1600,3.1132,3.2383
1602,3.1132,3.2216
1604,3.1132,3.2299
1606,3.0664,3.2047
1608,3.2031,3.3328
1638,3.2031,3.3182
1668,3.1132,3.2341
1670,3.1132,3.2320
1672,3.1562,3.2971
1702,3.1562,3.2971
1732,3.2031,3.3202
1762,3.1132,3.2173
1764,3.1132,3.2173
1766,3.0664,3.2047
1768,3.1132,3.2383
1770,3.2031,3.3076
1800,3.1562,3.2908
1830,3.1132,3.2656
1832,3.1132,3.2509
1834,3.0664,3.2341
1836,3.1132,3.2320
1838,3.0664,3.2152
1840,3.1132,3.2341
1842,3.1562,3.3097
1872,3.1562,3.2677
1902,3.2031,3.3307
1932,3.2031,3.3224
1962,3.2031,3.3244
1992,3.1132,3.2447
1994,3.2031,3.3119
2024,3.1132,3.2720
2026,3.1132,3.2615
2028,3.1132,3.2299
2030,3.1132,3.2278
2032,3.1132,3.2341
2034,3.0664,3.2236
2036,3.0664,3.1648
2038,3.1562,3.2698
2068,3.0664,3.2068
2070,3.0195,3.1753
2072,3.0664,3.2047
2074,3.0664,3.1942
2076,3.0195,3.1648
2078,3.1562,3.2740
2108,3.0664,3.2089
2110,3.0664,3.1669
2112,3.0664,3.2005
2114,3.1562,3.2824
2144,3.1562,3.2677
2174,3.1132,3.2299
2176,3.0664,3.2110
2178,3.0664,3.2194
2180,3.0664,3.2173
2182,3.1132,3.2509
2184,3.1562,3.2992
2214,3.1132,3.2635
2216,3.1132,3.2572
2218,3.1132,3.2447
2220,3.1132,3.2341
2222,3.0664,3.2131
2224,3.0664,3.2089
2226,3.0195,3.1669
2228,3.1562,3.2783
2258,3.1132,3.2551
2260,3.1132,3.2447
2262,3.1132,3.2467
2264,3.0664,3.2257
2266,3.0664,3.2216
2268,3.0664,3.2110
2270,3.0664,3.2173
2272,3.0664,3.2068
2274,2.9296,3.0661
2276,3.1132,3.2383
2278,3.1562,3.2761
2308,2.9296,3.0787
2310,2.9296,3.0850
2312,2.9296,3.0661
2314,2.9765,3.0997
2316,2.9296,3.0745
2318,3.1132,3.2467
2320,3.1132,3.2320
2322,3.1132,3.2656
2324,3.1562,3.2761
2354,3.1132,3.2467
2356,3.0664,3.2257
2358,3.1132,3.2320
2360,3.0664,3.1921
2362,3.0195,3.1753
2364,3.0664,3.1921
2366,3.0664,3.1879
2368,3.1132,3.2447
2370,3.0195,3.1648
2372,3.0664,3.2068
2374,3.0664,3.1963
2376,3.0664,3.1816
2378,3.0195,3.1585
2380,3.1132,3.2362
2382,3.0664,3.1837
2384,3.0664,3.1816
2386,3.0195,3.1669
2388,3.0195,3.1585
2390,3.1132,3.2425
2392,3.1562,3.2740
2422,3.1562,3.3013
2452,3.1132,3.2341
2454,3.1132,3.2447
2456,3.0664,3.2362
2458,3.0664,3.2089
2460,3.0664,3.2026
2462,3.0664,3.1921
2464,3.0664,3.1921
2466,3.0664,3.1942
2468,3.0664,3.2047
2470,3.0664,3.1984
2472,3.0664,3.1921
2474,3.0195,3.1712
2476,3.0195,3.1712
2478,3.0195,3.1774
2480,3.1132,3.2404
2482,3.1562,3.2803
2512,3.1562,3.2803
2542,3.1132,3.2698
2544,3.1132,3.2761
2546,3.1562,3.2845
2576,3.0195,3.1837
2578,3.0664,3.1963
2580,3.0664,3.1795
2582,3.0195,3.1606
2584,2.9765,3.1102
2586,3.1132,3.2383
2588,3.1562,3.2656
2618,3.1562,3.3119
2648,2.9765,3.1249
2650,3.1562,3.2698
2680,2.9765,3.1291
2682,3.0195,3.1375
2684,3.1132,3.2467
2686,3.1132,3.2698
2688,3.1562,3.2740
2718,3.1562,3.3055
2748,3.0664,3.1900
2750,3.0195,3.1606
2752,3.0664,3.2152
2754,3.0195,3.1270
2756,2.9765,3.1123
2758,3.0664,3.2131
2760,3.0664,3.1942
2762,3.0664,3.2026
2764,3.1132,3.2404
2766,3.1132,3.2572
2768,3.1132,3.2615
2770,3.1132,3.2635
2772,3.1132,3.2656
2774,3.1562,3.2698
2804,3.1562,3.2908
2834,3.0664,3.1921
2836,3.0664,3.1921
2838,3.0664,3.2047
2840,3.0195,3.1712
2842,3.0664,3.1921
2844,3.0195,3.1522
2846,2.9765,3.1207
2848,2.9765,3.1207
2850,3.1132,3.2320
2852,3.1132,3.2551
2854,3.1562,3.2698
2884,3.1562,3.2866
2914,3.1562,3.2866
2944,3.0195,3.1795
2946,3.0195,3.1712
2948,3.0195,3.1522
2950,3.0195,3.1564
2952,3.0195,3.1774
2954,3.0664,3.1858
2956,3.0195,3.1648
2958,3.0195,3.1669
2960,3.0195,3.1753
2962,3.0195,3.1690
2964,3.0195,3.1648
2966,3.0195,3.1480
2968,2.9765,3.1207
2970,2.9765,3.1417
2972,2.9765,3.1207
2974,3.1132,3.2236
2976,3.1132,3.2383
2978,3.1132,3.2509
2980,3.1132,3.2615
2982,3.1562,3.2720
3012,3.1562,3.2908
3042,3.1562,3.2929
3072,3.1562,3.2908
3102,3.1562,3.2740
3132,3.0195,3.1648
3134,3.0195,3.1333
3136,3.0195,3.1712
3138,3.0195,3.1543
3140,3.0195,3.1774
3142,3.0195,3.1774
3144,3.0664,3.2257
3146,3.1132,3.2299
3148,3.1132,3.2320
3150,3.1132,3.2362
3152,3.1132,3.2404
3154,3.1132,3.2488
3156,3.1132,3.2551
3158,3.1132,3.2572
3160,3.1132,3.2551
3162,3.1132,3.2551
3164,3.1132,3.2572
3166,3.1132,3.2615
3168,3.1132,3.2615
3170,3.1132,3.2635
3172,3.1132,3.2635
3174,3.1132,3.2635
3176,3.1132,3.2615
3178,3.1132,3.2615
3180,3.1132,3.2615
3182,3.1132,3.2593
3184,3.1562,3.2593
3214,3.0195,3.1648
3216,2.9765,3.1291
3218,3.0195,3.1396
3220,3.0664,3.1963
3222,3.0195,3.1648
3224,3.0664,3.2089
3226,3.0664,3.2089
3228,3.0664,3.1942
3230,3.0195,3.1753
3232,3.0195,3.1900
3234,3.0195,3.1669
3236,3.0195,3.1438
3238,2.9765,3.1312
3240,2.9765,3.1018
3242,3.0195,3.1459
3244,3.0195,3.1459
3246,2.9765,3.1060
3248,3.0195,3.1816
3250,3.1132,3.2320
3252,3.1132,3.2425
3254,3.1132,3.2488
3256,3.1132,3.2551
3258,3.1132,3.2572
3260,3.1132,3.2635
3262,3.1132,3.2593
3264,3.1132,3.2593
3266,3.1132,3.2593
3268,3.1132,3.2615
3270,3.1132,3.2656
3272,3.1562,3.2656
3302,3.1132,3.2593
3304,3.1132,3.2572
3306,3.1132,3.2593
3308,3.1132,3.2593
3310,3.1132,3.2572
3312,3.1132,3.2572
3314,3.1132,3.2572
3316,3.1132,3.2572
3318,3.1132,3.2551
3320,3.1132,3.2509
3322,3.1132,3.2467
3324,3.1132,3.2447
3326,3.1132,3.2467
3328,3.1132,3.2447
3330,3.1132,3.2383
3332,3.1132,3.2383
3334,3.1132,3.2425
3336,3.1132,3.2383
3338,3.1132,3.2362
3340,3.1132,3.2362
3342,3.1132,3.2320
3344,3.0664,3.2194
3346,3.0664,3.2110
3348,3.1132,3.2194
3350,3.0664,3.2110
3352,3.0664,3.1942
3354,3.0664,3.1921
3356,3.0664,3.1858
3358,3.0195,3.1753
3360,3.0195,3.1585
3362,3.0195,3.1585
3364,3.0195,3.1648
3366,3.0195,3.1753
3368,3.0195,3.1732
3370,3.0195,3.1690
3372,3.0195,3.1795
3374,3.0195,3.1732
3376,3.0195,3.1648
3378,3.0195,3.1690
3380,3.0195,3.1712
3382,3.0195,3.1606
3384,3.0195,3.1732
3386,3.0195,3.1564
3388,2.9296,3.1039
3390,2.9765,3.1396
3392,2.9765,3.1249
3394,2.9765,3.1144
3396,3.0664,3.1879
3398,3.0195,3.1333
3400,3.0195,3.1501
3402,2.9765,3.1249
3404,3.0664,3.2047
3406,3.0664,3.2152
3408,3.1132,3.2341
3410,3.1132,3.2341
3412,3.1132,3.2404
3414,3.1132,3.2425
3416,3.1132,3.2488
3418,3.1132,3.2488
3420,3.1132,3.2447
3422,3.1132,3.2447
3424,3.1132,3.2467
3426,3.1132,3.2467
3428,3.1132,3.2488
3430,3.1132,3.2509
3432,3.1132,3.2509
3434,3.1132,3.2509
3436,3.1132,3.2530
3438,3.1132,3.2509
3440,3.1132,3.2530
3442,3.1132,3.2551
3444,3.1132,3.2551
3446,3.1132,3.2593
3448,3.1132,3.2551
3450,3.1132,3.2551
3452,3.1132,3.2530
3454,3.1132,3.2572
3456,3.1132,3.2551
3458,3.1132,3.2530
3460,3.1132,3.2572
3462,3.1132,3.2593
3464,3.1132,3.2572
3466,3.1132,3.2572
3468,3.1132,3.2593
3470,3.1132,3.2572
3472,3.1132,3.2572
3474,3.1132,3.2551
3476,3.1132,3.2551
3478,3.1132,3.2551
3480,3.1132,3.2551
3482,3.1132,3.2530
3484,3.1132,3.2467
3486,3.1132,3.2488
3488,3.1132,3.2404
3490,3.1132,3.2447
3492,3.1132,3.2467
3494,3.1132,3.2404
3496,3.1132,3.2362
3498,3.1132,3.2383
3500,3.1132,3.2362
3502,3.0664,3.2362
3504,3.1132,3.2341
3506,3.1132,3.2216
3508,3.1132,3.2383
3510,3.1132,3.2425
3512,3.1132,3.2383
3514,3.1132,3.2488
3516,3.1132,3.2467
3518,3.1132,3.2447
3520,3.1132,3.2447
3522,3.1132,3.2362
3524,3.1132,3.2341
3526,3.1132,3.2320
3528,3.1132,3.2257
3530,3.0664,3.2257
3532,3.0664,3.2131
3534,3.0664,3.2152
3536,3.0664,3.2026
3538,3.0664,3.1921
3540,3.0195,3.1837
3542,3.0195,3.1564
3544,3.0195,3.1522
3546,3.0195,3.1459
3548,3.0195,3.1543
3550,3.0195,3.1543
3552,3.0195,3.1606
3554,3.0195,3.1375
3556,3.0195,3.1606
3558,3.0195,3.1753
3560,3.0195,3.1712
3562,3.0195,3.1585
3564,2.9765,3.1186
3566,2.9765,3.1270
3568,3.0195,3.1144
3570,2.9296,3.0745
3572,3.0195,3.1774
3574,3.1132,3.2194
3576,3.1132,3.2236
3578,3.1132,3.2278
3580,3.1132,3.2341
3582,3.1132,3.2320
3584,3.1132,3.2341
3586,3.1132,3.2383
3588,3.1132,3.2362
3590,3.1132,3.2341
3592,3.1132,3.2362
3594,3.1132,3.2341
3596,3.1132,3.2383
3598,3.1132,3.2404
3600,3.1132,3.2425
3602,3.1132,3.2467
3604,3.1132,3.2447
3606,3.1132,3.2425
3608,3.1132,3.2425
3610,3.1132,3.2425
3612,3.1132,3.2447
3614,3.1132,3.2447
3616,3.1132,3.2447
3618,3.1132,3.2447
3620,3.1132,3.2447
3622,3.1132,3.2467
3624,3.1132,3.2467
3626,3.1132,3.2467
3628,3.1132,3.2467
3630,3.1132,3.2447
3632,3.1132,3.2467
3634,3.1132,3.2447
3636,3.1132,3.2467
3638,3.1132,3.2467
3640,3.1132,3.2447
3642,3.1132,3.2447
3644,3.1132,3.2447
3646,3.1132,3.2447
3648,3.1132,3.2425
3650,3.1132,3.2447
3652,3.1132,3.2467
3654,3.1132,3.2425
3656,3.1132,3.2425
3658,3.1132,3.2425
3660,3.1132,3.2467
3662,3.1132,3.2467
3664,3.1132,3.2447
3666,3.1132,3.2447
3668,3.1132,3.2447
3670,3.1132,3.2447
3672,3.1132,3.2425
3674,3.1132,3.2425
3676,3.1132,3.2383
3678,3.1132,3.2404
3680,3.1132,3.2362
3682,3.1132,3.2320
3684,3.1132,3.2278
3686,3.1132,3.2278
3688,3.0664,3.2236
3690,3.0664,3.2216
3692,3.0664,3.2194
3694,3.0664,3.2194
3696,3.0664,3.2173
3698,3.0664,3.2131
3700,3.0664,3.2089
3702,3.0664,3.2005
3704,3.0664,3.1984
3706,3.0664,3.1879
3708,3.0664,3.2068
3710,3.0664,3.1984
3712,3.0664,3.1879
3714,3.0195,3.1795
3716,3.0195,3.1522
3718,2.9765,3.1228
3720,2.9765,3.1228
3722,2.9765,3.1102
3724,2.9765,3.1123
3726,2.9296,3.0850
3728,2.9765,3.0934
3730,3.0195,3.1585
3732,3.0664,3.1921
3734,3.0195,3.1795
3736,3.0664,3.1900
3738,3.0664,3.1879
3740,3.0664,3.1963
3742,3.0664,3.1879
3744,3.0195,3.1732
3746,3.0195,3.1606
3748,2.9765,3.1060
3750,2.9296,3.0892
